geoid,name,county,state,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
34003001000,Census Tract 10, Bergen County, New Jersey,6767,151641,680000,3045,5667,75,0,759,0,0,132,134
34003002100,Census Tract 21, Bergen County, New Jersey,1522,114545,2000001,836,788,141,0,444,0,0,27,122
34003002200,Census Tract 22, Bergen County, New Jersey,5389,90647,453800,1791,3481,99,9,1247,0,36,19,504
34003002300,Census Tract 23, Bergen County, New Jersey,5828,112031,610000,2363,3595,89,37,1627,0,0,32,448
34003003100,Census Tract 31, Bergen County, New Jersey,4946,76906,301900,1588,1803,306,0,1435,0,13,24,1365
34003003200,Census Tract 32, Bergen County, New Jersey,5044,69531,322400,1417,1342,186,19,1882,0,6,64,1564
34003003300,Census Tract 33, Bergen County, New Jersey,6638,97957,328100,1737,2437,400,0,2131,0,0,148,1522
34003003401,Census Tract 34.01, Bergen County, New Jersey,2958,122650,385200,941,1704,109,0,520,0,0,36,589
34003003402,Census Tract 34.02, Bergen County, New Jersey,3827,105776,356100,1237,1937,260,0,733,0,4,122,771
34003003500,Census Tract 35, Bergen County, New Jersey,4100,52382,340200,891,886,502,16,1160,0,0,59,1493
34003004001,Census Tract 40.01, Bergen County, New Jersey,3372,76979,331300,537,1635,145,0,169,0,42,80,1301
34003004002,Census Tract 40.02, Bergen County, New Jersey,4976,78306,299700,1228,1694,462,0,561,0,20,29,2210
34003005000,Census Tract 50, Bergen County, New Jersey,6238,84268,386200,1725,4095,0,9,444,0,23,103,1564
34003006100,Census Tract 61, Bergen County, New Jersey,7159,63071,416900,2215,4288,124,0,728,0,71,121,1827
34003006201,Census Tract 62.01, Bergen County, New Jersey,4416,49883,429500,1288,2307,68,0,602,0,70,74,1295
34003006202,Census Tract 62.02, Bergen County, New Jersey,5073,81273,405900,2501,2795,145,0,1398,14,15,106,600
34003006300,Census Tract 63, Bergen County, New Jersey,8013,54788,412300,2105,3108,297,0,589,0,21,320,3678
34003007001,Census Tract 70.01, Bergen County, New Jersey,3899,100250,514100,1560,2146,28,8,1355,0,0,0,362
34003007002,Census Tract 70.02, Bergen County, New Jersey,4751,143780,745300,1979,2482,86,0,2068,0,16,27,72
34003008000,Census Tract 80, Bergen County, New Jersey,8745,117164,540700,3686,5641,64,14,2150,0,0,105,785
34003009100,Census Tract 91, Bergen County, New Jersey,5007,150139,652800,2083,2961,11,0,1476,0,0,37,522
34003009200,Census Tract 92, Bergen County, New Jersey,3446,168371,644700,1609,2728,36,6,547,0,0,59,76
34003010100,Census Tract 101, Bergen County, New Jersey,5864,98987,364200,1832,3953,95,0,900,0,0,100,816
34003010200,Census Tract 102, Bergen County, New Jersey,4275,75550,348600,1049,2514,146,26,716,0,0,85,805
34003010300,Census Tract 103, Bergen County, New Jersey,7649,106750,356700,2508,4640,271,0,1152,0,0,64,1522
34003011100,Census Tract 111, Bergen County, New Jersey,4293,68442,326100,836,1969,208,8,401,0,42,145,1528
34003011200,Census Tract 112, Bergen County, New Jersey,5077,69310,353400,900,2303,471,0,418,0,33,127,1725
34003011300,Census Tract 113, Bergen County, New Jersey,4240,88045,343300,1041,2447,150,52,325,0,0,183,1083
34003011400,Census Tract 114, Bergen County, New Jersey,6525,76709,375100,1490,4140,274,0,426,34,0,0,1651
34003012001,Census Tract 120.01, Bergen County, New Jersey,5933,70769,410500,1978,2885,282,0,896,0,0,46,1824
34003012002,Census Tract 120.02, Bergen County, New Jersey,3303,81033,362500,1240,2137,12,34,629,0,0,118,407
34003013001,Census Tract 130.01, Bergen County, New Jersey,6526,117681,617000,3766,2320,373,0,3044,23,23,173,570
34003013002,Census Tract 130.02, Bergen County, New Jersey,5472,85288,477900,2412,3249,107,57,1062,0,0,59,990
34003014000,Census Tract 140, Bergen County, New Jersey,7621,109613,465000,2281,6091,29,0,569,0,10,166,756
34003015100,Census Tract 151, Bergen County, New Jersey,2581,138654,895100,1233,2000,148,9,193,0,45,0,186
34003015200,Census Tract 152, Bergen County, New Jersey,5922,72315,351200,1872,1337,1842,1,623,0,14,271,1834
34003015300,Census Tract 153, Bergen County, New Jersey,6786,66817,299800,1111,279,4125,30,95,0,36,248,1990
34003015400,Census Tract 154, Bergen County, New Jersey,7041,66483,309400,2299,1604,1541,48,1591,0,19,57,2203
34003015500,Census Tract 155, Bergen County, New Jersey,5854,112723,593900,3070,3890,535,38,956,0,0,51,384
34003016000,Census Tract 160, Bergen County, New Jersey,5405,131936,984700,2475,2713,76,20,2298,0,0,50,248
34003017100,Census Tract 171, Bergen County, New Jersey,7129,126265,450600,3675,5712,1,0,689,0,37,38,652
34003017200,Census Tract 172, Bergen County, New Jersey,6078,83463,354600,2008,3895,164,18,541,0,0,102,1372
34003017300,Census Tract 173, Bergen County, New Jersey,6407,117386,389600,1960,4899,74,36,563,0,39,0,796
34003017400,Census Tract 174, Bergen County, New Jersey,5530,108667,410100,2283,4011,37,4,865,0,0,75,538
34003017500,Census Tract 175, Bergen County, New Jersey,8061,90527,372300,2478,4890,112,0,1402,0,0,30,1627
34003018100,Census Tract 181, Bergen County, New Jersey,7222,49615,357800,792,2232,37,62,190,0,19,61,4683
34003018200,Census Tract 182, Bergen County, New Jersey,7092,62347,348300,1421,2149,292,16,549,0,35,324,3743
